iter	Passed	Remaining
667	2419	478
668	2422	474
669	2425	470
670	2428	466
671	2431	463
672	2434	459
673	2437	455
674	2440	451
675	2445	448
676	2449	445
677	2452	441
678	2456	437
679	2460	434
680	2463	430
681	2466	426
682	2470	423
683	2473	419
684	2477	415
685	2480	412
686	2483	408
687	2486	404
688	2490	401
689	2493	397
690	2497	393
691	2501	390
692	2504	386
693	2507	383
694	2510	379
695	2514	375
696	2517	372
697	2521	368
698	2524	364
699	2528	361
700	2532	357
701	2535	353
702	2538	350
703	2541	346
704	2545	343
705	2549	339
706	2552	335
707	2555	332
708	2559	328
709	2563	324
710	2567	321
711	2570	317
712	2573	314
713	2577	310
714	2580	306
715	2585	303
716	2588	299
717	2592	296
718	2595	292
719	2598	288
720	2602	285
721	2605	281
722	2609	277
723	2612	274
724	2616	270
725	2619	266
726	2622	263
727	2625	259
728	2629	256
729	2633	252
730	2636	248
731	2639	245
732	2641	241
733	2645	237
734	2648	234
735	2652	230
736	2656	227
737	2660	223
738	2664	219
739	2668	216
740	2671	212
741	2676	209
742	2680	205
743	2684	202
744	2688	198
745	2692	194
746	2695	191
747	2699	187
748	2702	184
749	2706	180
750	2711	176
751	2715	173
752	2719	169
753	2724	166
754	2728	162
755	2731	158
756	2735	155
757	2739	151
758	2742	148
759	2746	144
760	2750	140
761	2753	137
762	2757	133
763	2761	130
764	2765	126
765	2769	122
766	2773	119
767	2776	115
768	2780	112
769	2784	108
770	2787	104
771	2792	101
772	2795	97
773	2799	94
774	2805	90
775	2808	86
776	2812	83
777	2816	79
778	2819	76
779	2823	72
780	2827	68
781	2830	65
782	2834	61
783	2838	57
784	2841	54
785	2844	50
786	2848	47
787	2854	43
788	2857	39
789	2859	36
790	2864	32
791	2868	28
792	2872	25
793	2876	21
794	2879	18
795	2884	14
796	2887	10
797	2891	7
798	2894	3
799	2898	0
